seq_id,salt
kvar_0050,0.3
kvar_0050,0.5
kvar_0051,0.05
kvar_0051,0.1
kvar_0051,0.15
kvar_0051,0.3
kvar_0051,0.5
kvar_0052,0.05
kvar_0052,0.1
kvar_0052,0.15
kvar_0052,0.3
kvar_0052,0.5
kvar_0053,0.05
kvar_0053,0.1
kvar_0053,0.15
kvar_0053,0.3
kvar_0053,0.5
kvar_0054,0.05
kvar_0054,0.1
kvar_0054,0.15
kvar_0054,0.3
kvar_0054,0.5
kvar_0055,0.05
kvar_0055,0.1
kvar_0055,0.15
kvar_0055,0.3
kvar_0055,0.5
kvar_0056,0.05
kvar_0056,0.1
kvar_0056,0.15
kvar_0056,0.3
kvar_0056,0.5
kvar_0057,0.05
kvar_0057,0.1
kvar_0057,0.15
kvar_0057,0.3
kvar_0057,0.5
kvar_0058,0.05
kvar_0058,0.1
kvar_0058,0.15
kvar_0058,0.3
kvar_0058,0.5
kvar_0059,0.05
kvar_0059,0.1
kvar_0059,0.15
kvar_0059,0.3
kvar_0059,0.5
kvar_0060,0.05
kvar_0060,0.1
kvar_0060,0.15
kvar_0060,0.3
kvar_0060,0.5
kvar_0061,0.05
kvar_0061,0.1
kvar_0061,0.15
kvar_0061,0.3
kvar_0061,0.5
kvar_0062,0.05
kvar_0062,0.1
kvar_0062,0.15
kvar_0062,0.3
kvar_0062,0.5
kvar_0063,0.05
kvar_0063,0.1
kvar_0063,0.15
kvar_0063,0.3
kvar_0063,0.5
kvar_0064,0.05
kvar_0064,0.1
kvar_0064,0.15
kvar_0064,0.3
kvar_0064,0.5
kvar_0065,0.05
kvar_0065,0.1
kvar_0065,0.15
kvar_0065,0.3
kvar_0065,0.5
kvar_0066,0.05
kvar_0066,0.1
kvar_0066,0.15
kvar_0066,0.3
kvar_0066,0.5
kvar_0067,0.05
kvar_0067,0.1
kvar_0067,0.15
kvar_0067,0.3
kvar_0067,0.5
kvar_0068,0.05
kvar_0068,0.1
kvar_0068,0.15
kvar_0068,0.3
kvar_0068,0.5
kvar_0069,0.05
kvar_0069,0.1
kvar_0069,0.15
kvar_0069,0.3
kvar_0069,0.5
kvar_0070,0.05
kvar_0070,0.1
kvar_0070,0.15
kvar_0070,0.3
kvar_0070,0.5
kvar_0071,0.05
kvar_0071,0.1
kvar_0071,0.15
kvar_0071,0.3
kvar_0071,0.5
kvar_0072,0.05
kvar_0072,0.1
kvar_0072,0.15
kvar_0072,0.3
kvar_0072,0.5
kvar_0073,0.05
kvar_0073,0.1
kvar_0073,0.15
kvar_0073,0.3
kvar_0073,0.5
kvar_0074,0.05
kvar_0074,0.1
kvar_0074,0.15
kvar_0074,0.3
kvar_0074,0.5
kvar_0075,0.05
kvar_0075,0.1
kvar_0075,0.15
kvar_0075,0.3
kvar_0075,0.5
kvar_0076,0.05
kvar_0076,0.1
kvar_0076,0.15
kvar_0076,0.3
kvar_0076,0.5
kvar_0077,0.05
kvar_0077,0.1
kvar_0077,0.15
kvar_0077,0.3
kvar_0077,0.5
kvar_0078,0.05
kvar_0078,0.1
kvar_0078,0.15
kvar_0078,0.3
kvar_0078,0.5
kvar_0079,0.05
kvar_0079,0.1
kvar_0079,0.15
kvar_0079,0.3
kvar_0079,0.5
kvar_0080,0.05
kvar_0080,0.1
kvar_0080,0.15
kvar_0080,0.3
kvar_0080,0.5
kvar_0081,0.05
kvar_0081,0.1
kvar_0081,0.15
kvar_0081,0.3
kvar_0081,0.5
kvar_0082,0.05
kvar_0082,0.1
kvar_0082,0.15
kvar_0082,0.3
kvar_0082,0.5
kvar_0083,0.05
kvar_0083,0.1
kvar_0083,0.15
kvar_0083,0.3
kvar_0083,0.5
kvar_0084,0.05
kvar_0084,0.1
kvar_0084,0.15
kvar_0084,0.3
kvar_0084,0.5
kvar_0085,0.05
kvar_0085,0.1
kvar_0085,0.15
kvar_0085,0.3
kvar_0085,0.5
kvar_0086,0.05
kvar_0086,0.1
kvar_0086,0.15
kvar_0086,0.3
kvar_0086,0.5
kvar_0087,0.05
kvar_0087,0.1
kvar_0087,0.15
kvar_0087,0.3
kvar_0087,0.5
kvar_0088,0.05
kvar_0088,0.1
kvar_0088,0.15
kvar_0088,0.3
kvar_0088,0.5
kvar_0089,0.05
kvar_0089,0.1
kvar_0089,0.15
kvar_0089,0.3
kvar_0089,0.5
kvar_0090,0.05
kvar_0090,0.1
kvar_0090,0.15
kvar_0090,0.3
kvar_0090,0.5
kvar_0091,0.05
kvar_0091,0.1
kvar_0091,0.15
kvar_0091,0.3
kvar_0091,0.5
kvar_0092,0.05
kvar_0092,0.1
kvar_0092,0.15
kvar_0092,0.3
kvar_0092,0.5
kvar_0093,0.05
kvar_0093,0.1
kvar_0093,0.15
kvar_0093,0.3
kvar_0093,0.5
kvar_0094,0.05
kvar_0094,0.1
kvar_0094,0.15
kvar_0094,0.3
kvar_0094,0.5
kvar_0095,0.05
kvar_0095,0.1
kvar_0095,0.15
kvar_0095,0.3
kvar_0095,0.5
kvar_0096,0.05
kvar_0096,0.1
kvar_0096,0.15
kvar_0096,0.3
kvar_0096,0.5
kvar_0097,0.05
kvar_0097,0.1
kvar_0097,0.15
kvar_0097,0.3
kvar_0097,0.5
kvar_0098,0.05
kvar_0098,0.1
kvar_0098,0.15
kvar_0098,0.3
kvar_0098,0.5
kvar_0099,0.05
kvar_0099,0.1
kvar_0099,0.15
kvar_0099,0.3
kvar_0099,0.5
kvar_0100,0.05
kvar_0100,0.1
kvar_0100,0.15
kvar_0100,0.3
kvar_0100,0.5
kvar_0101,0.05
kvar_0101,0.1
kvar_0101,0.15
kvar_0101,0.3
kvar_0101,0.5
kvar_0102,0.05
kvar_0102,0.1
kvar_0102,0.15
kvar_0102,0.3
kvar_0102,0.5
kvar_0103,0.05
kvar_0103,0.1
kvar_0103,0.15
kvar_0103,0.3
kvar_0103,0.5
kvar_0104,0.05
kvar_0104,0.1
kvar_0104,0.15
kvar_0104,0.3
kvar_0104,0.5
kvar_0105,0.05
kvar_0105,0.1
kvar_0105,0.15
kvar_0105,0.3
kvar_0105,0.5
kvar_0106,0.05
kvar_0106,0.1
kvar_0106,0.15
kvar_0106,0.3
kvar_0106,0.5
kvar_0107,0.05
kvar_0107,0.1
kvar_0107,0.15
kvar_0107,0.3
kvar_0107,0.5
kvar_0108,0.05
kvar_0108,0.1
kvar_0108,0.15
kvar_0108,0.3
kvar_0108,0.5
kvar_0109,0.05
kvar_0109,0.1
kvar_0109,0.15
kvar_0109,0.3
kvar_0109,0.5
kvar_0110,0.05
kvar_0110,0.1
kvar_0110,0.15
kvar_0110,0.3
kvar_0110,0.5
kvar_0111,0.05
kvar_0111,0.1
kvar_0111,0.15
kvar_0111,0.3
kvar_0111,0.5
kvar_0112,0.05
kvar_0112,0.1
kvar_0112,0.15
kvar_0112,0.3
kvar_0112,0.5
kvar_0113,0.05
kvar_0113,0.1
kvar_0113,0.15
kvar_0113,0.3
kvar_0113,0.5
kvar_0114,0.05
kvar_0114,0.1
kvar_0114,0.15
kvar_0114,0.3
kvar_0114,0.5
kvar_0115,0.05
kvar_0115,0.1
kvar_0115,0.15
kvar_0115,0.3
kvar_0115,0.5
kvar_0116,0.05
kvar_0116,0.1
kvar_0116,0.15
kvar_0116,0.3
kvar_0116,0.5
kvar_0117,0.05
kvar_0117,0.1
kvar_0117,0.15
kvar_0117,0.3
kvar_0117,0.5
kvar_0118,0.05
kvar_0118,0.1
kvar_0118,0.15
kvar_0118,0.3
kvar_0118,0.5
kvar_0119,0.05
kvar_0119,0.1
kvar_0119,0.15
kvar_0119,0.3
kvar_0119,0.5
kvar_0120,0.05
kvar_0120,0.1
kvar_0120,0.15
kvar_0120,0.3
kvar_0120,0.5
kvar_0121,0.05
kvar_0121,0.1
kvar_0121,0.15
kvar_0121,0.3
kvar_0121,0.5
kvar_0122,0.05
kvar_0122,0.1
kvar_0122,0.15
kvar_0122,0.3
kvar_0122,0.5
kvar_0123,0.05
kvar_0123,0.1
kvar_0123,0.15
kvar_0123,0.3
kvar_0123,0.5
kvar_0124,0.05
kvar_0124,0.1
kvar_0124,0.15
kvar_0124,0.3
kvar_0124,0.5
kvar_0125,0.05
kvar_0125,0.1
kvar_0125,0.15
kvar_0125,0.3
kvar_0125,0.5
kvar_0126,0.05
kvar_0126,0.1
kvar_0126,0.15
kvar_0126,0.3
kvar_0126,0.5
kvar_0127,0.05
kvar_0127,0.1
kvar_0127,0.15
kvar_0127,0.3
kvar_0127,0.5
kvar_0128,0.05
kvar_0128,0.1
kvar_0128,0.15
kvar_0128,0.3
kvar_0128,0.5
kvar_0129,0.05
kvar_0129,0.1
kvar_0129,0.15
kvar_0129,0.3
kvar_0129,0.5
kvar_0130,0.05
kvar_0130,0.1
kvar_0130,0.15
kvar_0130,0.3
kvar_0130,0.5
kvar_0131,0.05
kvar_0131,0.1
kvar_0131,0.15
kvar_0131,0.3
kvar_0131,0.5
kvar_0132,0.05
kvar_0132,0.1
kvar_0132,0.15
kvar_0132,0.3
kvar_0132,0.5
kvar_0133,0.05
kvar_0133,0.1
kvar_0133,0.15
kvar_0133,0.3
kvar_0133,0.5
kvar_0134,0.05
kvar_0134,0.1
kvar_0134,0.15
kvar_0134,0.3
kvar_0134,0.5
kvar_0135,0.05
kvar_0135,0.1
kvar_0135,0.15
kvar_0135,0.3
kvar_0135,0.5
kvar_0136,0.05
kvar_0136,0.1
kvar_0136,0.15
kvar_0136,0.3
kvar_0136,0.5
kvar_0137,0.05
kvar_0137,0.1
kvar_0137,0.15
kvar_0137,0.3
kvar_0137,0.5
kvar_0138,0.05
kvar_0138,0.1
kvar_0138,0.15
kvar_0138,0.3
kvar_0138,0.5
kvar_0139,0.05
kvar_0139,0.1
kvar_0139,0.15
kvar_0139,0.3
kvar_0139,0.5
kvar_0140,0.05
kvar_0140,0.1
kvar_0140,0.15
kvar_0140,0.3
kvar_0140,0.5
kvar_0141,0.05
kvar_0141,0.1
kvar_0141,0.15
kvar_0141,0.3
kvar_0141,0.5
kvar_0142,0.05
kvar_0142,0.1
kvar_0142,0.15
kvar_0142,0.3
kvar_0142,0.5
kvar_0143,0.05
kvar_0143,0.1
kvar_0143,0.15
kvar_0143,0.3
kvar_0143,0.5
kvar_0144,0.05
kvar_0144,0.1
kvar_0144,0.15
kvar_0144,0.3
kvar_0144,0.5
kvar_0145,0.05
kvar_0145,0.1
kvar_0145,0.15
kvar_0145,0.3
kvar_0145,0.5
kvar_0146,0.05
kvar_0146,0.1
kvar_0146,0.15
kvar_0146,0.3
kvar_0146,0.5
kvar_0147,0.05
kvar_0147,0.1
kvar_0147,0.15
kvar_0147,0.3
kvar_0147,0.5
kvar_0148,0.05
kvar_0148,0.1
kvar_0148,0.15
kvar_0148,0.3
kvar_0148,0.5
kvar_0149,0.05
kvar_0149,0.1
kvar_0149,0.15
kvar_0149,0.3
kvar_0149,0.5
kvar_0150,0.05
kvar_0150,0.1
kvar_0150,0.15
kvar_0150,0.3
kvar_0150,0.5
kvar_0151,0.05
kvar_0151,0.1
kvar_0151,0.15
kvar_0151,0.3
kvar_0151,0.5
kvar_0152,0.05
kvar_0152,0.1
kvar_0152,0.15
kvar_0152,0.3
kvar_0152,0.5
kvar_0153,0.05
kvar_0153,0.1
kvar_0153,0.15
kvar_0153,0.3
kvar_0153,0.5
kvar_0154,0.05
kvar_0154,0.1
kvar_0154,0.15
kvar_0154,0.3
kvar_0154,0.5
kvar_0155,0.05
kvar_0155,0.1
kvar_0155,0.15
kvar_0155,0.3
kvar_0155,0.5
kvar_0156,0.05
kvar_0156,0.1
kvar_0156,0.15
kvar_0156,0.3
kvar_0156,0.5
kvar_0157,0.05
kvar_0157,0.1
kvar_0157,0.15
kvar_0157,0.3
kvar_0157,0.5
kvar_0158,0.05
kvar_0158,0.1
kvar_0158,0.15
kvar_0158,0.3
kvar_0158,0.5
kvar_0159,0.05
kvar_0159,0.1
kvar_0159,0.15
kvar_0159,0.3
kvar_0159,0.5
kvar_0160,0.05
kvar_0160,0.1
kvar_0160,0.15
kvar_0160,0.3
kvar_0160,0.5
kvar_0161,0.05
kvar_0161,0.1
kvar_0161,0.15
kvar_0161,0.3
kvar_0161,0.5
kvar_0162,0.05
kvar_0162,0.1
kvar_0162,0.15
kvar_0162,0.3
kvar_0162,0.5
kvar_0163,0.05
kvar_0163,0.1
kvar_0163,0.15
kvar_0163,0.3
kvar_0163,0.5
kvar_0164,0.05
kvar_0164,0.1
kvar_0164,0.15
kvar_0164,0.3
kvar_0164,0.5
kvar_0165,0.05
kvar_0165,0.1
kvar_0165,0.15
kvar_0165,0.3
kvar_0165,0.5
kvar_0166,0.05
kvar_0166,0.1
kvar_0166,0.15
kvar_0166,0.3
kvar_0166,0.5
kvar_0167,0.05
kvar_0167,0.1
kvar_0167,0.15
kvar_0167,0.3
kvar_0167,0.5
kvar_0168,0.05
kvar_0168,0.1
kvar_0168,0.15
kvar_0168,0.3
kvar_0168,0.5
kvar_0169,0.05
kvar_0169,0.1
kvar_0169,0.15
kvar_0169,0.3
kvar_0169,0.5
kvar_0170,0.05
kvar_0170,0.1
kvar_0170,0.15
kvar_0170,0.3
kvar_0170,0.5
kvar_0171,0.05
kvar_0171,0.1
kvar_0171,0.15
