seq_id,n_points,Rg_slope,Rg_intercept,Rg_r2_lin,Rg_rmse_lin,Rg_curvature,Rg_r2_quad,Rg_at_50mM,Rg_at_500mM,Rg_rel_change,Rg_n_valid,Ree_slope,Ree_intercept,Ree_r2_lin,Ree_rmse_lin,Ree_curvature,Ree_r2_quad,Ree_at_50mM,Ree_at_500mM,Ree_rel_change,Ree_n_valid,Ree_Rg_sq_slope,Ree_Rg_sq_intercept,Ree_Rg_sq_r2_lin,Ree_Rg_sq_rmse_lin,Ree_Rg_sq_curvature,Ree_Rg_sq_r2_quad,Ree_Rg_sq_at_50mM,Ree_Rg_sq_at_500mM,Ree_Rg_sq_rel_change,Ree_Rg_sq_n_valid,nu_masked_slope,nu_masked_intercept,nu_masked_r2_lin,nu_masked_rmse_lin,nu_masked_curvature,nu_masked_r2_quad,nu_masked_at_50mM,nu_masked_at_500mM,nu_masked_rel_change,nu_masked_n_valid,regime,monotonicity
idr_0000,5,0.5774411102296042,2.380424481616259,0.7703135796336894,0.0514259591775128,-2.496139590607481,0.9775227498251398,2.3342344240189177,2.6243986225652813,0.1243080795830179,5,2.052653043033485,5.228074485668742,0.7997644430204851,0.1675119984628363,-7.62524894961222,0.9586403822786324,5.066873306035997,6.123898714637757,0.2086149277390774,5,1.348795114382737,4.826640897568635,0.8073743752915714,0.1074499831780281,-3.816086828724552,0.9004077058032616,4.711846690065571,5.4449813427266935,0.155593910601306,5,0.1757041404722017,0.4522187976945176,0.7909516482226521,0.0147323226016192,-0.6393116680662594,0.9416922640924944,0.4380192416676954,0.5289289505870818,0.2075472953499958,5,PA_swelling,increasing
idr_0001,5,0.503040365410209,2.176139222285268,0.7991949554677539,0.0411248755020785,-1.132786481500367,0.8575343957283503,2.1335357451803425,2.4157241159436555,0.132263249585003,5,1.415837265523753,4.863429411623531,0.8091059613294895,0.1121624894571042,-1.725884634157184,0.8264129427395122,4.762840448141098,5.568136782932282,0.1690790072771563,5,0.5415050487612791,4.998598474072157,0.6488553441288178,0.0649699327310863,1.4528895516485956,0.7160952577156571,4.983474261377821,5.31282022987098,0.0660876230555874,5,0.1380680937350261,0.4444659463296633,0.7548209574158484,0.0128337579650421,-0.217004445144675,0.7816628807940849,0.4312644396452901,0.5126212032081087,0.1886470482698122,5,PA_swelling,increasing
idr_0002,5,0.7688989841033155,2.4817795243143155,0.869734835671556,0.048532293863823,-2.3138848136589,0.9831185924430544,2.446758300260594,2.8262108658252467,0.1550837961903464,5,2.3062084187278176,5.737892748515408,0.854120402358286,0.15544512337533,-7.33371314893308,0.9784541165333562,5.621964701414108,6.767733103561401,0.2038021337734643,5,0.8795168011555319,5.34969740800778,0.7296476596248804,0.0873159187861733,-3.5993022494661098,0.9055536499175382,5.279515732934115,5.734259238933087,0.0861335639483446,5,0.1354411427552267,0.4731308972716722,0.8441512374274569,0.0094914590020637,-0.4323430092426603,0.9679724362912628,0.4648691679950231,0.533545005933305,0.1477315396813263,5,PA_swelling,increasing
idr_0003,5,0.3787793387457071,1.8259774085616651,0.9148058933688644,0.018852432719351,-0.9417042431208488,0.996202167367675,1.8208659443691573,1.9984114168491087,0.0975060646441286,5,1.0985832547352707,4.266062399795719,0.9332328403964364,0.0479247920551497,-2.323860861174514,0.9933451460822544,4.250982504558563,4.773684556913375,0.122960292542792,5,0.4997197555776842,5.461739153939222,0.8336111082041828,0.0364122700695757,-0.3416244509275679,0.8392193590252817,5.450328621802286,5.706077040113016,0.0469234859138016,5,0.1110410232388397,0.4918384615787821,0.9350403101915424,0.0047734357092219,-0.2405346298757399,0.9981996708478716,0.4925402150927686,0.5425321448131948,0.1014981684510987,5,PA_swelling,increasing
idr_0004,5,0.2486587833741345,2.286756620251293,0.5018477525436928,0.0404054248846998,-1.867229761782416,0.9092083102182328,2.236003876838044,2.379158689157308,0.0640226136466724,5,1.1091402084988742,5.151202626715927,0.558515009372522,0.1608302789438368,-7.37545346551449,0.914030463269778,4.952898909521104,5.581545252037048,0.1269249290163138,5,1.0640860864826678,5.072214062824703,0.617002817673521,0.1367325139268446,-6.132647982951696,0.9120209921755256,4.906522825067214,5.503792848630858,0.1217297962035795,5,0.101903755028637,0.4833063381706869,0.4534987585307979,0.0182447758037137,-0.8572208327615405,0.9154543640434396,0.4604802351346286,0.5197817722521215,0.1287819380568097,5,non_monotonic,non-monotonic
idr_0005,5,0.2602896141657296,1.86220898746768,0.6736816238894328,0.0295454815592553,-1.2864102175280674,0.9105565345527478,1.8390356957551044,1.9714873835620863,0.0720223583004447,5,1.1233019741818422,4.047661878620592,0.7372507089777288,0.1093705805637699,-4.186718095377091,0.8846816621655297,3.96687548251152,4.547964947652816,0.146485431091322,5,1.2660561240740444,4.7244242109778645,0.7813586822566745,0.1092281740228001,-3.157824791751468,0.8513331599598328,4.652826078136856,5.321648839160149,0.1437454892556636,5,0.1220136825165005,0.4460941586158961,0.6788547337621172,0.0136871078753139,-0.5754726078111256,0.8962390329318528,0.4355983505806193,0.4979769394480431,0.1432020777495551,5,PA_swelling,increasing
idr_0006,5,0.3389681387303063,2.942811734630562,0.5237279073968037,0.0527198791532223,-1.7659835102105743,0.7283631011366056,2.8750263267397576,3.090145171655878,0.074823260891688,5,1.956167423241121,6.533605242454199,0.675861747708905,0.220944426209088,-7.827841512278269,0.8316551101467423,6.274285064840317,7.408306133460999,0.180741081557719,5,1.806394473917077,4.92631749824726,0.7806700595296805,0.1561595730502999,-5.880945745972974,0.8997821254123758,4.762608044026639,5.747514500376972,0.2067998137250916,5,0.1398403277634852,0.4693831558792993,0.636059522507063,0.017252004087188,-0.6629485940002332,0.8418435582072159,0.4482945944967418,0.5298981847664751,0.1820311716257519,5,non_monotonic,non-monotonic
idr_0007,5,0.746040419110618,2.474136700399483,0.8460225383705023,0.051908775850043,-2.3670428202067764,0.9686219898036,2.4300369452338666,2.806417380470738,0.1548867131321119,5,3.003968117975651,5.284562040757774,0.8258893392988875,0.2249509797558684,-10.497415693020573,0.9710721141620008,5.086841778993606,6.609706858539581,0.2993733923148013,5,2.256224580063104,4.570046885185964,0.7692431443022772,0.2015434245656517,-9.245196172841393,0.9551735099601064,4.381983179502089,5.547021831185723,0.2658701788572392,5,0.2772974191111534,0.40229008781671,0.7874845835930868,0.0234942094282618,-1.0742147916853986,0.957603160775824,0.3796457447830189,0.5233171563685236,0.3784354587396155,5,PA_swelling,increasing
idr_0008,5,1.2780886973675418,2.623639549600978,0.8448490763036393,0.0893283739374455,-3.941589636797309,0.960518624656166,2.544388724585525,3.1961345349639667,0.2561502509741744,5,4.264985706440488,5.572688686985361,0.8845429791436893,0.2513096133962752,-10.89348268438825,0.967611476476424,5.393162246561051,7.515642572402954,0.3935502454418653,5,2.14504848372336,4.5307149732485925,0.9174859280270952,0.1049161233271075,-3.958493567882405,0.962464343663414,4.49283062757864,5.52945250489442,0.2307280116353851,5,0.2838132671365239,0.417544223238373,0.8008794194872526,0.0230806491612814,-0.9672507438763585,0.9347850910636368,0.3944202543954368,0.5432482200129745,0.3773334760550255,5,PA_swelling,increasing
idr_0009,5,0.1475497349066154,2.902550075233433,0.7543843961707353,0.0137312754881573,-0.4690280496125276,0.8641162057873958,2.896191919845872,2.969590454903789,0.0253431185119193,5,0.678737383677548,6.673664369934124,0.5965785035641521,0.0910307888300605,-2.172414250666244,0.684555357251355,6.635832976055145,6.988778798818588,0.0531878701644569,5,0.5315877524230698,5.286873070165843,0.4477534817984133,0.0962859217084683,-1.7342057553196015,0.5163511518677688,5.249720931552077,5.538720788592473,0.0550505180767681,5,0.0473693338914069,0.4852673478453106,0.8223527025349515,0.0035907761879595,-0.043167183127716,0.8321835298581408,0.4843970923172985,0.5090591284385663,0.0509128492148611,5,salt_insensitive,increasing
