seq_id,salt_mM,salt_M,Rg,Rg_err,Ree,Ree_err,nu,nu_err,nu_reliable,Ree_Rg_sq,nu_masked
idr_0000,50,0.05,2.3342344240189177,0.0216530549464466,5.066873306035997,0.0841298804367182,0.4380192416676954,0.0031788094354043,True,4.711846690065571,0.4380192416676954
idr_0000,100,0.1,2.461145958779768,0.0226919743130399,5.546534906435012,0.0853147670457539,0.482843995752109,0.0027197086356011,True,5.0788894547923045,0.482843995752109
idr_0000,150,0.15,2.501845796256964,0.0232151953503883,5.650765616416932,0.089148525051851,0.484620088710858,0.0026961603801945,True,5.101448559671437,0.484620088710858
idr_0000,300,0.3,2.615682827712928,0.0245181675381619,6.010218232154847,0.096335874494608,0.5199562662742662,0.0021651934162661,True,5.279713066408176,0.5199562662742662
idr_0000,500,0.5,2.6243986225652813,0.0272415189100836,6.123898714637757,0.0994483830456925,0.5289289505870818,0.0017364970557459,True,5.4449813427266935,0.5289289505870818
idr_0001,50,0.05,2.1335357451803425,0.0160189117014969,4.762840448141098,0.0601428273118736,0.4312644396452901,0.0054151482479576,True,4.983474261377821,0.4312644396452901
idr_0001,100,0.1,2.262499383236221,0.0191885538579451,5.125511743116379,0.0856573103430686,0.4731395945803697,0.0033358974131896,True,5.132128558098566,0.4731395945803697
idr_0001,150,0.15,2.300532551446993,0.018322898936739,5.1964932241916655,0.0770932451650874,0.4776901741867626,0.0027068212430948,True,5.102276209630886,0.4776901741867626
idr_0001,300,0.3,2.3217487175703564,0.021406088923976,5.221585851812362,0.0830858942453019,0.4794892231363139,0.0025721283143138,True,5.057948665019939,0.4794892231363139
idr_0001,500,0.5,2.4157241159436555,0.0185287237675533,5.568136782932282,0.0698897247494682,0.5126212032081087,0.002000828095885,True,5.3128202298709795,0.5126212032081087
idr_0002,50,0.05,2.446758300260594,0.0203264774324913,5.621964701414108,0.0516431458987005,0.4648691679950231,0.0026861057163998,True,5.279515732934115,0.4648691679950231
