seq_id,Rg_50mM,Rg_100mM,Rg_150mM,Rg_300mM,Rg_500mM,Ree_50mM,Ree_100mM,Ree_150mM,Ree_300mM,Ree_500mM,nu_50mM,nu_100mM,nu_150mM,nu_300mM,nu_500mM,nu_masked_50mM,nu_masked_100mM,nu_masked_150mM,nu_masked_300mM,nu_masked_500mM,Ree_Rg_sq_50mM,Ree_Rg_sq_100mM,Ree_Rg_sq_150mM,Ree_Rg_sq_300mM,Ree_Rg_sq_500mM
idr_0000,2.3342344240189177,2.461145958779768,2.501845796256964,2.615682827712928,2.6243986225652813,5.066873306035997,5.546534906435012,5.650765616416932,6.010218232154847,6.123898714637757,0.4380192416676954,0.482843995752109,0.484620088710858,0.5199562662742662,0.5289289505870818,0.4380192416676954,0.482843995752109,0.484620088710858,0.5199562662742662,0.5289289505870818,4.711846690065571,5.0788894547923045,5.101448559671437,5.279713066408176,5.4449813427266935
idr_0001,2.1335357451803425,2.262499383236221,2.300532551446993,2.3217487175703564,2.4157241159436555,4.762840448141098,5.125511743116379,5.1964932241916655,5.221585851812362,5.568136782932282,0.4312644396452901,0.4731395945803697,0.4776901741867626,0.4794892231363139,0.5126212032081087,0.4312644396452901,0.4731395945803697,0.4776901741867626,0.4794892231363139,0.5126212032081087,4.983474261377821,5.132128558098566,5.102276209630886,5.057948665019939,5.3128202298709795
idr_0002,2.446758300260594,2.579453004214797,2.6384890179867893,2.763775315797797,2.8262108658252467,5.621964701414108,6.005367731714248,6.255730797195434,6.57549666929245,6.767733103561401,0.4648691679950231,0.4926297218461924,0.5008218153556696,0.5227740322589205,0.533545005933305,0.4648691679950231,0.4926297218461924,0.5008218153556696,0.5227740322589205,0.533545005933305,5.279515732934115,5.420308091678221,5.621413355790382,5.660459101974176,5.734259238933087
idr_0003,1.8208659443691573,1.86237539807838,1.902244072286439,1.9626474838455208,1.9984114168491087,4.250982504558563,4.397710774707795,4.462918958377838,4.653456784629822,4.773684556913375,0.4925402150927686,0.502804124149949,0.5103272596348137,0.533133689765908,0.5425321448131948,0.4925402150927686,0.502804124149949,0.5103272596348137,0.533133689765908,0.5425321448131948,5.450328621802286,5.575950057717394,5.504343424021638,5.621688357177227,5.706077040113016
idr_0004,2.236003876838044,2.335584191228353,2.35484622149974,2.4017147842445667,2.379158689157308,4.952898909521104,5.354030344057083,5.452319970130921,5.635272887182236,5.581545252037048,0.4604802351346286,0.5005143154977905,0.5164686590613013,0.5313808394390939,0.5197817722521215,0.4604802351346286,0.5005143154977905,0.5164686590613013,0.5313808394390939,0.5197817722521215,4.906522825067214,5.254974373265481,5.360898266962885,5.5053766953280086,5.503792848630858
idr_0005,1.8390356957551044,1.8784803156783216,1.946753679917273,1.9616064380079168,1.9714873835620863,3.96687548251152,4.130230728960036,4.402294238138199,4.426576167440415,4.547964947652816,0.4355983505806193,0.4534770553120424,0.4863162461010749,0.4913172524058514,0.4979769394480431,0.4355983505806193,0.4534770553120424,0.4863162461010749,0.4913172524058514,0.4979769394480431,4.652826078136856,4.834319282860197,5.1137103368906,5.092278254322967,5.321648839160149
idr_0006,2.8750263267397576,3.005488018656587,3.066973176828533,3.049290931875393,3.090145171655878,6.274285064840317,6.847029873132706,7.127323658609391,7.162865647792816,7.408306133460999,0.4482945944967418,0.4924785836047963,0.5124714614034215,0.5175973156648959,0.5298981847664751,0.4482945944967418,0.4924785836047963,0.5124714614034215,0.5175973156648959,0.5298981847664751,4.762608044026639,5.19008467529196,5.4004880132198565,5.517926179629662,5.747514500376972
idr_0007,2.4300369452338666,2.584235523490204,2.620066642583036,2.750571471241248,2.806417380470738,5.086841778993606,5.682828940582275,5.9487425989151,6.399054956531525,6.609706858539581,0.3796457447830189,0.4389786607364705,0.469292761315587,0.5052432769022194,0.5233171563685236,0.3796457447830189,0.4389786607364705,0.469292761315587,0.5052432769022194,0.5233171563685236,4.381983179502089,4.835762719364067,5.154964503069033,5.412349230878322,5.547021831185723
idr_0008,2.544388724585525,2.820538103916856,2.87309289014595,3.089941061496886,3.1961345349639667,5.393162246561051,6.222268371391296,6.31690264377594,7.106951877880096,7.515642572402954,0.3944202543954368,0.4674438877861396,0.4720126341380891,0.522790713709401,0.5432482200129745,0.3944202543954368,0.4674438877861396,0.4720126341380891,0.522790713709401,0.5432482200129745,4.49283062757864,4.8666883374025485,4.834026560904002,5.2901301675590515,5.52945250489442
idr_0009,2.896191919845872,2.908986974564642,2.949686720859578,2.950599014390558,2.969590454903789,6.635832976055145,6.674815197801589,6.951713612651825,6.863792386388779,6.988778798818588,0.4843970923172985,0.4890866419394844,0.4991369555566847,0.4967631882550672,0.5090591284385663,0.4843970923172985,0.4890866419394844,0.4991369555566847,0.4967631882550672,0.5090591284385663,5.249720931552077,5.2649583384069425,5.554333575709237,5.411378244233861,5.538720788592473
idr_0010,2.5462149758646664,2.605721734881613,2.8061096913136305,3.075671371186972,3.113070178303265,5.229374835824966,5.229946640968323,5.941257470178604,7.025078925609589,7.409339991092682,0.3876488453043594,0.392568079673131,0.4548662173571773,0.5196449881924217,0.5391544379213014,0.3876488453043594,0.392568079673131,0.4548662173571773,0.5196449881924217,0.5391544379213014,4.218027521389374,4.028454333564786,4.482780348086461,5.2170206445233465,5.664756220390063
idr_0011,2.542666651978822,2.5466744804907,2.7670511794396506,2.747877913946148,2.7809240259541093,5.143562709903717,5.33866715350151,6.343924914550781,6.234550333356857,6.391507693099976,0.4382696657979587,0.4417483587870915,0.5217405675343527,0.5103522828270151,0.5193100669068839,0.4382696657979587,0.4417483587870915,0.5217405675343527,0.5103522828270151,0.5193100669068839,4.092128132713545,4.394594595466729,5.256318638994805,5.1477257813767165,5.282364718011343
idr_0012,3.4236074051668948,3.4340445301913314,3.572614423095693,3.4962793946651,3.51676300792071,7.628742298316955,7.676877352952957,8.240226605415344,8.104649800872803,8.068711699867249,0.5033350740785123,0.505031446912179,0.5376113615730029,0.5332254589682325,0.5262330938964301,0.5033350740785123,0.505031446912179,0.5376113615730029,0.5332254589682325,0.5262330938964301,4.965214041469445,4.997552436862345,5.319931195358741,5.373487542452026,5.264076490367245
idr_0013,2.625198427101885,2.805113680261897,2.881203005984521,3.0462757753943106,3.0463428285180045,5.705963664531708,6.296991809225083,6.545888358449936,7.161165732955933,7.218481154537201,0.4056882605868908,0.4520029580141595,0.4655945826141432,0.4990032320278031,0.5036238567505198,0.4056882605868908,0.4520029580141595,0.4655945826141432,0.4990032320278031,0.5036238567505198,4.724259366051689,5.039243269019862,5.161660898878013,5.526230760201787,5.614797546203712
idr_0014,2.923783265406867,3.004731474247901,3.0681915163047626,3.060222635659889,3.16378877598096,6.5131846306324,6.6776644977569575,7.10527462553978,6.993994859075546,7.476975441408158,0.4588244385392355,0.4590369891783121,0.4961086017051521,0.4811301106175812,0.5146878242416113,0.4588244385392355,0.4590369891783121,0.4961086017051521,0.4811301106175812,0.5146878242416113,4.962453230345274,4.938986716167378,5.362864294759044,5.223295199732967,5.585177070348704
idr_0015,2.869230229647412,2.945741288161598,2.92515244447961,3.051414727393548,2.9893374028628314,6.360266703414916,6.648417952680587,6.58679391617775,6.949842931985855,6.793224424743652,0.4640151432188045,0.481892994029001,0.4702015693349941,0.4964747374540548,0.4789356722851651,0.4640151432188045,0.481892994029001,0.4702015693349941,0.4964747374540548,0.4789356722851651,4.913826959414796,5.093864909448933,5.070504153666601,5.187373309362725,5.164188100765959
idr_0016,3.0529649211424865,3.1374044550060343,3.278906454604137,3.232579626647489,3.282995873184777,6.424507834100723,6.861097484397888,7.306924797773362,7.210135232543946,7.290887266778945,0.4323701188201915,0.4666885855009048,0.5021207454414722,0.4863861873582964,0.4809533230969695,0.4323701188201915,0.4666885855009048,0.5021207454414722,0.4863861873582964,0.4809533230969695,4.42829044208097,4.782402911621388,4.9660515333140784,4.974945847973776,4.931966211881356
idr_0017,2.743028129067331,2.8239164284964184,2.987261630089259,3.295392373992489,3.3758868931302395,5.964985484695435,6.061083344936371,6.77901237654686,7.641369779491424,8.009967360162735,0.388417442157652,0.3813431194802729,0.4410470038111814,0.4909157111430796,0.5165361733188029,0.388417442157652,0.3813431194802729,0.4410470038111814,0.4909157111430796,0.5165361733188029,4.728879634728072,4.606773203285243,5.1497522069666415,5.376853061524079,5.629706033366842
idr_0018,3.286609616265971,3.581000182267744,3.611939644745542,3.871171726527512,4.161090349456567,7.195061649179459,8.089008995342256,8.240995774030685,8.679783129119873,9.684146229505538,0.4146204791034952,0.4652512829074282,0.470100634925361,0.475123774604437,0.5215706582060947,0.4146204791034952,0.4652512829074282,0.470100634925361,0.475123774604437,0.5215706582060947,4.792617791592734,5.102487512316782,5.205691334283557,5.027277678561742,5.416370771536037
idr_0019,3.1030126062472454,3.73607169272843,3.98452055700156,4.47171747397238,4.506633211276319,5.731755630016327,8.17169146528244,9.07999099740982,10.764416199302676,10.723731843471526,0.2394086982783394,0.446297316346482,0.4941053921578613,0.5621421624448353,0.5550091465023627,,0.446297316346482,0.4941053921578613,0.5621421624448353,0.5550091465023627,3.411993951201367,4.784025861690582,5.193004420513206,5.7947172385271255,5.662229463532183
